Crater name ,Interior volume
Tycho,6869.92
Cremona,6838.33
Desargues,6788.33
Julius Caesar,6764.33
Wargentin,6758.79
Mezentsev M,6745.9
Mezentsev,6725.66
Byrgius,6716.47
Mersenius,6716.47
Hale,6709.12
Neumayer,6701.78
Lame,6683.45
Smoluchowski,6679.79
Wood,6659.66
Rocca,6643.22
Tikhov,6626.8
Ioffe,6623.15
Newton,6604.94
Maksutov,6603.12
Metius,6597.67
Montgolfier,6579.5
Von Zeipel,6525.15
Lyman,6496.28
Lamont,6492.67
Lyman Q,6483.67
Freundlich,6480.07
Hertz,6440.53
Mouchez,6411.87
Barocius,6401.14
Rabbi Levi,6351.2
Boole H,6344.08
Alder,6294.4
Hase,6287.32
Zhukovskiy,6285.55
Oresme,6282.01
Dellinger,6280.24
Geminus,6269.63
Bridgman,6253.75
Hubble,6244.93
Sasserides,6227.32
Birkeland,6209.73
Cabannes,6150.16
Jeans,6120.49
Anaximenes,6118.75
Hess Z,6115.26
Garavito,6106.56
Ley,6106.56
Archimedes,6104.82
Komarov,5999.19
Carver M,5997.47
Al-Biruni,5995.75
La Perouse,5994.02
Elvey,5961.35
Lyot L,5939.06
Olcott,5915.1
Hansen B,5906.56
Pitiscus,5899.73
Aliacensis,5865.65
Gauricus,5863.95
Cyrano,5853.75
Hagecius,5848.65
Sniadecki Q,5838.47
Nobile,5801.21
Doerfel Y,5799.52
Anaximander B,5772.51
Colombo,5759.03
Zagut,5742.21
Fabricius,5738.85
Kolhorster,5718.71
Meton D,5717.03
Gibbs,5715.35
Peary,5713.68
Oken,5700.28
Coriolis,5681.88
Hartwig,5665.19
Olivier,5663.52
Nasmyth,5650.19
Frost,5638.54
Legendre,5602.01
Rynin,5568.92
Holetschek R,5563.96
Chauvenet,5534.29
Ganswindt,5509.63
Klute,5501.43
Yamamoto,5499.79
Prager G,5498.15
Schliemann,5489.95
Zhiritskiy F,5486.68
Cuvier,5473.58
Mees Y,5470.31
Bragg,5458.87
Thebit P,5439.29
Montanari,5432.78
Biela,5429.52
Petermann,5416.5
Clairaut,5406.75
Houzeau,5398.63
Chapman,5397.01
Galvani,5397.01
Esnault-Pelterie,5390.52
Beijerinck,5387.28
Birkhoff X,5356.53
Mutus,5316.22
King,5296.93
